,polymer,mean(ni),median(ni),standard_deviation(ni),variance(ni),iqr(ni),range(ni),mean(nid),median(nid),standard_deviation(nid),variance(nid),iqr(nid),range(nid)
300,PVC,0.054654327,0.053994995,0.003311304,1.10E-05,0.00304584,0.081804309,-0.377283557,-0.388409363,0.090326009,0.008158788,0.115236353,1.006263104
301,PVC,0.047547553,0.046774095,0.00332195,1.10E-05,0.002887139,0.077140939,-0.375398545,-0.386905537,0.091218058,0.008320734,0.113560962,1.033825411
302,PVC,0.061522494,0.06094122,0.003381171,1.14E-05,0.003192334,0.082140023,-0.364170794,-0.374960572,0.091427953,0.008359071,0.118667987,1.003084981
303,PVC,0.057722746,0.057178172,0.003571501,1.28E-05,0.00370506,0.080217298,-0.369189708,-0.380109059,0.090840116,0.008251927,0.116624038,0.994758605
304,PVC,0.055203389,0.05456876,0.003308793,1.09E-05,0.003015321,0.079741195,-0.369056817,-0.38000214,0.090330011,0.008159511,0.115183181,1.006354808
305,PVC,0.062118607,0.061563816,0.00340316,1.16E-05,0.003070256,0.083989501,-0.358409182,-0.369039108,0.091357418,0.008346178,0.118477641,1.0052356
306,PVC,0.067644559,0.066959653,0.005591789,3.13E-05,0.003540255,0.155453824,-0.342373777,-0.353204033,0.093829271,0.008803932,0.122243459,1.001235731
307,PVC,0.053865456,0.053207593,0.003704857,1.37E-05,0.003540255,0.081602881,-0.371475438,-0.382617383,0.090989538,0.008279096,0.115658081,1.014106988
308,PVC,0.06044751,0.059946286,0.003468405,1.20E-05,0.00337545,0.083434047,-0.360925238,-0.371671355,0.091205198,0.008318388,0.117853125,1.004898086
309,PVC,0.05101466,0.050302142,0.003263626,1.07E-05,0.002960386,0.079503144,-0.368009018,-0.3792106,0.09080112,0.008244843,0.114487516,1.019350128
310,PVC,0.064429598,0.063852774,0.003382832,1.14E-05,0.003167918,0.084374046,-0.354201929,-0.364885948,0.092545987,0.00856476,0.120864419,1.006033718
311,PVC,0.051673048,0.050985778,0.003226834,1.04E-05,0.002881035,0.077922236,-0.377884354,-0.389321927,0.09182941,0.008432641,0.116329893,1.022961787
312,PVC,0.066539614,0.066086797,0.00356553,1.27E-05,0.003289996,0.084648721,-0.341930931,-0.352357781,0.092455047,0.008547936,0.120969266,1.00415679
313,PVC,0.053588965,0.052945126,0.003272619,1.07E-05,0.00296649,0.0777086,-0.374275532,-0.385487649,0.091412091,0.00835617,0.116267716,1.022299638
314,PVC,0.060565855,0.059995117,0.00336368,1.13E-05,0.003180126,0.080839895,-0.355019071,-0.365622239,0.090696935,0.008225934,0.117154987,1.005682602
315,PVC,0.047084965,0.04642007,0.00336156,1.13E-05,0.003082464,0.093236892,-0.381196382,-0.393032196,0.093364899,0.008717004,0.116579625,1.060067391
316,PVC,0.060163581,0.059595312,0.003401941,1.16E-05,0.00326558,0.08078496,-0.349046711,-0.359541099,0.089720381,0.008049747,0.115493074,1.00256671
317,PVC,0.063380143,0.062809009,0.003355625,1.13E-05,0.003015321,0.082445218,-0.348799717,-0.359269772,0.091218624,0.008320837,0.118340247,1.007488415
318,PVC,0.07031771,0.069791857,0.003371187,1.14E-05,0.003070256,0.087609107,-0.337902559,-0.348264789,0.095204268,0.009063853,0.125958523,1.00078859
319,PVC,0.062983657,0.062454984,0.00343706,1.18E-05,0.003351035,0.082854178,-0.356271287,-0.366914828,0.092267606,0.008513311,0.120072551,1.011355807
320,PVC,0.07155825,0.071226271,0.003636245,1.32E-05,0.00351584,0.082780931,-0.332111725,-0.34246093,0.095747018,0.009167492,0.12684747,1.004789773
321,PVC,0.061803693,0.061209791,0.00330817,1.09E-05,0.002997009,0.082878594,-0.358605745,-0.369301297,0.091903606,0.008446273,0.119218644,1.008476053
322,PVC,0.059384795,0.058682781,0.003207507,1.03E-05,0.002838308,0.081303791,-0.357274635,-0.367894876,0.090737369,0.00823327,0.116892901,1.024569491
323,PVC,0.044344906,0.043618385,0.003268413,1.07E-05,0.00296649,0.075926265,-0.383262296,-0.395474605,0.094646973,0.00895805,0.117059564,1.080018885
324,PVC,0.063109278,0.062552646,0.003437819,1.18E-05,0.003277788,0.081383141,-0.352166783,-0.362725065,0.091696471,0.008408243,0.119192403,1.00162432
325,PVC,0.041605334,0.040865531,0.003216032,1.03E-05,0.002844412,0.07510224,-0.38355262,-0.396043901,0.095812219,0.009179981,0.117306709,1.11684838
326,PVC,0.048643487,0.047848379,0.00346572,1.20E-05,0.003216749,0.075914057,-0.378915931,-0.390681009,0.092879619,0.008626624,0.116600501,1.032611485
327,PVC,0.073126638,0.072617958,0.003484802,1.21E-05,0.003393762,0.086449368,-0.327711005,-0.338047292,0.096878139,0.009385374,0.128738114,1.003217193
328,PVC,0.065807194,0.065244461,0.003489824,1.22E-05,0.003180126,0.085277422,-0.347776486,-0.358358272,0.093051564,0.008658594,0.121641005,1.015261024
329,PVC,0.04254316,0.041903192,0.003387786,1.15E-05,0.003174022,0.075553928,-0.386027365,-0.398466214,0.09576623,0.009171171,0.117859744,1.102949332
330,PVC,0.040450231,0.039711896,0.003334341,1.11E-05,0.003082464,0.076670939,-0.395273552,-0.408197326,0.095864199,0.009189945,0.116365864,1.123646681
331,PVC,0.050484882,0.049862663,0.003280272,1.08E-05,0.002997009,0.07781847,-0.381182533,-0.392614647,0.090439422,0.008179289,0.113879929,1.026165446
332,PVC,0.046451119,0.045803577,0.003314502,1.10E-05,0.003064152,0.076097174,-0.390060184,-0.402073576,0.09250426,0.008557038,0.11498976,1.031693058
333,PVC,0.057253859,0.056625771,0.003358438,1.13E-05,0.003167918,0.079643533,-0.373246936,-0.384183719,0.091051027,0.00829029,0.117004602,1.005941326
334,PVC,0.057580099,0.057034731,0.003448491,1.19E-05,0.003344931,0.079930416,-0.370693861,-0.381634371,0.091056139,0.008291221,0.117005961,1.005094253
335,PVC,0.044869187,0.044106696,0.003246562,1.05E-05,0.002881035,0.081242752,-0.386901892,-0.399038722,0.094041294,0.008843765,0.116396471,1.066854774
336,PVC,0.062537222,0.06189953,0.003324737,1.11E-05,0.003039736,0.08240249,-0.360885714,-0.371551194,0.092108233,0.008483927,0.11962757,1.006684209
337,PVC,0.052866036,0.052279802,0.003358292,1.13E-05,0.003082464,0.080247818,-0.376506325,-0.387823192,0.091594618,0.008389574,0.11634645,1.009595234
338,PVC,0.037158124,0.036385277,0.003260964,1.06E-05,0.002893243,0.073441983,-0.389977417,-0.403657739,0.100102603,0.010020531,0.120288294,1.167981568
339,PVC,0.050997793,0.050387597,0.003354819,1.13E-05,0.003100775,0.079771715,-0.381694957,-0.393295181,0.09244568,0.008546204,0.116910203,1.020551887
340,PVC,0.049208011,0.048550327,0.003258009,1.06E-05,0.002874931,0.076866264,-0.380029794,-0.391649047,0.092269572,0.008513674,0.115908899,1.031831903
341,PVC,0.05470383,0.044643838,0.033648812,0.001132243,0.006299213,0.171787829,-0.370115741,-0.398687609,0.130731348,0.017090685,0.135597556,1.085245608
342,PVC,0.063774126,0.063303424,0.003577656,1.28E-05,0.003674541,0.083745346,-0.354494247,-0.365103624,0.092517872,0.008559557,0.120501845,1.01024621
343,PVC,0.052687842,0.052102789,0.003372031,1.14E-05,0.003143502,0.079777818,-0.374157051,-0.385372948,0.09177652,0.00842293,0.116375119,1.029611466
344,PVC,0.05757825,0.057071354,0.003455813,1.19E-05,0.003344931,0.078770677,-0.364625444,-0.375430538,0.091241857,0.008325077,0.117118452,1.01883311
345,PVC,0.048618058,0.047897211,0.003440038,1.18E-05,0.003100775,0.077122627,-0.376171782,-0.387656766,0.092366938,0.008531651,0.115733534,1.035184474
346,PVC,0.05729169,0.056625771,0.003274072,1.07E-05,0.002960386,0.081499115,-0.366129453,-0.376977877,0.091410542,0.008355887,0.117333231,1.009942943
347,PVC,0.061457722,0.06083135,0.00329959,1.09E-05,0.002972594,0.08394067,-0.359625617,-0.370314534,0.091980364,0.008460387,0.119090228,1.002139282
348,PVC,0.053923742,0.053262528,0.003294883,1.09E-05,0.003064152,0.080473662,-0.368881706,-0.379922343,0.091302746,0.008336192,0.116092856,1.02246597
349,PVC,0.052305265,0.051687725,0.003306988,1.09E-05,0.003064152,0.077971068,-0.373907618,-0.385131082,0.091703575,0.008409546,0.116149814,1.015219039
350,PET,0.065519321,0.064834737,0.004408841,1.94E-05,0.004186886,0.10276468,-0.470610185,-0.484448373,0.098544252,0.00971097,0.123764106,1.065558042
351,PET,0.093770951,0.093790057,0.005576957,3.11E-05,0.005369514,0.131805835,-0.431896745,-0.443829777,0.101884391,0.010380429,0.135057861,1.042497076
352,PET,0.0882286,0.087934139,0.005107902,2.61E-05,0.005569798,0.112979155,-0.441598644,-0.453897655,0.100935431,0.010187961,0.133023759,1.058009769
353,PET,0.062595861,0.061887704,0.004302129,1.85E-05,0.004015214,0.101019349,-0.470786863,-0.484852805,0.098636631,0.009729185,0.123024923,1.07130689
354,PET,0.094947098,0.094352759,0.004459385,1.99E-05,0.00424411,0.111539019,-0.432390124,-0.444077941,0.102760531,0.010559727,0.136636394,1.053900338
355,PET,0.117021357,0.118043475,0.008727781,7.62E-05,0.008440533,0.152139413,-0.377478169,-0.387137965,0.111420518,0.012414532,0.151147173,1.072709362
356,PET,0.066244991,0.066055515,0.005090155,2.59E-05,0.005569798,0.101391305,-0.471433917,-0.485420701,0.098919155,0.009784999,0.124449683,1.056074117
357,PET,0.097036319,0.10112426,0.014281534,0.000203962,0.01857871,0.135153436,-0.424859558,-0.436893195,0.107508858,0.011558155,0.145210726,1.052553016
358,PET,0.075265632,0.075602377,0.00626396,3.92E-05,0.005035708,0.123298541,-0.461407085,-0.47475991,0.099037391,0.009808405,0.127043891,1.058514624
359,PET,0.094061581,0.094285998,0.005887443,3.47E-05,0.006189724,0.127008561,-0.431486889,-0.443425367,0.101869784,0.010377453,0.134899441,1.049106022
360,PET,0.069164683,0.068344473,0.004169744,1.74E-05,0.003767243,0.10875412,-0.467894893,-0.481544326,0.098540056,0.009710143,0.124867012,1.063897298
361,PET,0.071175219,0.070662043,0.004648447,2.16E-05,0.004368095,0.119397775,-0.464973341,-0.478532411,0.098499947,0.00970224,0.125366764,1.052251397
362,PET,0.095312273,0.095010834,0.004800692,2.30E-05,0.005150156,0.125949918,-0.431497144,-0.443251837,0.102975898,0.010604036,0.13714248,1.056030538
363,PET,0.065213418,0.064663065,0.004478943,2.01E-05,0.004234572,0.102459485,-0.469942465,-0.483929124,0.098608816,0.009723699,0.123758934,1.071585434
364,PET,0.081078351,0.08065716,0.004665454,2.18E-05,0.004711439,0.118043475,-0.454023097,-0.467035454,0.099594193,0.009919003,0.129253366,1.052625419
365,PET,0.060061956,0.059331701,0.004384818,1.92E-05,0.00395799,0.107428432,-0.472061244,-0.486224049,0.099595431,0.00991925,0.123713625,1.119751708
366,PET,0.096458769,0.096374672,0.005204643,2.71E-05,0.005760544,0.11217802,-0.428787517,-0.44027037,0.104019052,0.010819963,0.139211459,1.053227451
367,PET,0.076721752,0.075993408,0.004373913,1.91E-05,0.004253647,0.106303028,-0.460504226,-0.473657345,0.099245242,0.009849618,0.128060488,1.060588814
368,PET,0.101037222,0.100799991,0.004954713,2.45E-05,0.005073857,0.115888039,-0.419763573,-0.430941927,0.105127456,0.011051782,0.141124605,1.055288752
369,PET,0.085258329,0.084672374,0.004448647,1.98E-05,0.00438717,0.110041659,-0.44972826,-0.462302027,0.100975392,0.01019603,0.132679065,1.055639155
370,PET,0.071438038,0.071119835,0.00482996,2.33E-05,0.004663752,0.117442623,-0.465708082,-0.479241065,0.098526079,0.009707388,0.12533145,1.070066144
371,PET,0.090526284,0.090156336,0.004863671,2.37E-05,0.004997558,0.110356391,-0.439606384,-0.451836196,0.101308729,0.010263459,0.133651669,1.053119022
372,PET,0.059628617,0.058902521,0.004392075,1.93E-05,0.003929378,0.106264878,-0.471639709,-0.485955036,0.099563341,0.009912859,0.123377038,1.081180594
373,PET,0.095912715,0.095392327,0.004635579,2.15E-05,0.004692364,0.12347975,-0.428520088,-0.440165209,0.102928988,0.010594377,0.137093281,1.058247219
374,PET,0.100291126,0.100037005,0.004981466,2.48E-05,0.005035708,0.112349692,-0.419752093,-0.431019028,0.104317185,0.010882075,0.139737137,1.060353473
375,PET,0.099685167,0.099455228,0.004827463,2.33E-05,0.004835424,0.114896158,-0.42167329,-0.433038805,0.104048907,0.010826175,0.139189282,1.049701582
376,PET,0.111340143,0.111090765,0.004966497,2.47E-05,0.005197842,0.141944012,-0.393256086,-0.403079115,0.109195542,0.011923666,0.148529479,1.053833637
377,PET,0.080037465,0.079712965,0.004996565,2.50E-05,0.005121544,0.107476119,-0.452637353,-0.465537264,0.099121345,0.009825041,0.12836816,1.052280571
378,PET,0.081258824,0.080876518,0.004670513,2.18E-05,0.00449208,0.117805042,-0.453943166,-0.466902646,0.099350211,0.009870465,0.128909103,1.060962284
379,PET,0.095873903,0.095640298,0.004796761,2.30E-05,0.005007096,0.111224287,-0.42832148,-0.440016402,0.102738374,0.010555174,0.136734338,1.041042854
380,PET,0.090852016,0.090404306,0.004681673,2.19E-05,0.004501618,0.118711088,-0.438356838,-0.450516488,0.101541483,0.010310673,0.13427603,1.054860469
381,PET,0.079702282,0.079102576,0.004474727,2.00E-05,0.004139199,0.109869987,-0.456836256,-0.469848066,0.099575041,0.009915189,0.12905142,1.057060762
382,PET,0.088268588,0.089159685,0.006829011,4.66E-05,0.007505875,0.116708249,-0.439560151,-0.451830695,0.100169101,0.010033849,0.131363794,1.048218502
383,PET,0.112858654,0.112788409,0.005212614,2.72E-05,0.005092932,0.14615951,-0.390211057,-0.400228339,0.109288877,0.011944059,0.148186274,1.055618037
384,PET,0.070677779,0.070938625,0.005941152,3.53E-05,0.005894067,0.110022584,-0.467068573,-0.480551723,0.099241058,0.009848788,0.126591073,1.082377483
385,PET,0.13627953,0.13728026,0.006809375,4.64E-05,0.008440533,0.136297916,-0.310955733,-0.318372601,0.116445529,0.013559561,0.160318777,1.036146809
386,PET,0.125336104,0.126007142,0.00645433,4.17E-05,0.006590292,0.127161158,-0.351011848,-0.35979812,0.113946285,0.012983756,0.15568049,1.046535526
387,PET,0.080639338,0.080285204,0.004766284,2.27E-05,0.004740051,0.118033938,-0.454500064,-0.467581264,0.099517136,0.00990366,0.129024586,1.050835408
388,PET,0.109143291,0.108601523,0.004550937,2.07E-05,0.004654215,0.118243759,-0.396905281,-0.407125821,0.107393984,0.011533468,0.145427455,1.052532112
389,PET,0.09606423,0.095792895,0.004876944,2.38E-05,0.004806812,0.125043872,-0.429873319,-0.441605298,0.103173881,0.01064485,0.137412521,1.063193563
390,PET,0.087731443,0.087533571,0.004823981,2.33E-05,0.004816349,0.108811344,-0.442355382,-0.454710809,0.100360635,0.010072257,0.131686216,1.04621594
391,PET,0.065656714,0.06525438,0.004725186,2.23E-05,0.004453931,0.111653467,-0.468747204,-0.482649845,0.098648269,0.009731481,0.123827626,1.064245931
392,PET,0.078342586,0.07805347,0.004860808,2.36E-05,0.004844961,0.129726698,-0.458577358,-0.47176164,0.099341964,0.009868826,0.128200594,1.06419293
393,PET,0.095775653,0.09595503,0.005449376,2.97E-05,0.005941754,0.111844214,-0.429069184,-0.440849145,0.102725839,0.010552598,0.136591614,1.046566324
394,PET,0.063005821,0.062421794,0.004479284,2.01E-05,0.00434902,0.099598288,-0.473721704,-0.487837229,0.099284999,0.009857511,0.124071126,1.061793547
395,PET,0.08256025,0.082335729,0.005057375,2.56E-05,0.005655634,0.108668284,-0.453499504,-0.466334425,0.100021469,0.010004294,0.130143794,1.057288357
396,PET,0.082152907,0.082431102,0.005392748,2.91E-05,0.006113426,0.105826161,-0.454582022,-0.467594752,0.099674026,0.009934911,0.129420365,1.059240129
397,PET,0.089138698,0.089030931,0.00498484,2.48E-05,0.005255066,0.108181881,-0.442649686,-0.455057409,0.101139933,0.010229286,0.133067122,1.04936432
398,PET,0.07689213,0.076441662,0.005048205,2.55E-05,0.004749588,0.113761216,-0.458579904,-0.471656307,0.099012426,0.009803461,0.127566723,1.055666523
399,PET,0.070649851,0.070414073,0.004861241,2.36E-05,0.005007096,0.117623833,-0.462634324,-0.476204481,0.098203395,0.009643907,0.124598139,1.06289089
400,PU,0.029689649,0.030137948,0.005953874,3.54E-05,0.006218336,0.101057499,-0.414635469,-0.439252353,0.13527905,0.018300421,0.14927448,1.545066121
401,PU,0.036050954,0.034992446,0.00436121,1.90E-05,0.003938915,0.089822529,-0.441647895,-0.460500978,0.116222025,0.013507559,0.132153632,1.303378791
402,PU,0.028753981,0.027639169,0.004245109,1.80E-05,0.003738632,0.087667094,-0.413121677,-0.435309331,0.131971135,0.017416381,0.146798135,1.452993781
403,PU,0.036252515,0.035211805,0.004214419,1.78E-05,0.003719557,0.089975127,-0.435567056,-0.453975507,0.11575682,0.013399641,0.132066887,1.308423205
404,PU,0.030014385,0.028993469,0.004296948,1.85E-05,0.00381493,0.087791079,-0.421669958,-0.443253466,0.128794035,0.016587904,0.143913689,1.406385126
405,PU,0.037282265,0.036270448,0.004215509,1.78E-05,0.003757706,0.091644159,-0.438650636,-0.456721666,0.114164562,0.013033547,0.130684447,1.318960009
406,PU,0.033539394,0.032445981,0.004185549,1.75E-05,0.003681408,0.089660395,-0.431284433,-0.45098039,0.120802813,0.01459332,0.136417978,1.346109332
407,PU,0.03599266,0.034973372,0.004253448,1.81E-05,0.003748169,0.095020372,-0.435061038,-0.453481566,0.116295738,0.013524699,0.13235429,1.326554306
408,PU,0.03441511,0.033361564,0.004241669,1.80E-05,0.003786318,0.08964132,-0.431281975,-0.450549468,0.119293067,0.014230836,0.135279893,1.361966181
409,PU,0.037483038,0.036489807,0.004209878,1.77E-05,0.003719557,0.090928859,-0.435372968,-0.453191735,0.11361408,0.012908159,0.1301942,1.300779203
410,PU,0.035285309,0.034200848,0.004218134,1.78E-05,0.003748169,0.089975127,-0.43269824,-0.451477895,0.117479965,0.013801542,0.133628383,1.33022721
411,PU,0.033351422,0.032331533,0.00421055,1.77E-05,0.00371002,0.088601752,-0.430169844,-0.449607892,0.120457198,0.014509937,0.136051478,1.354404909
412,PU,0.030795976,0.029718306,0.004193971,1.76E-05,0.00371002,0.094820088,-0.42474415,-0.44569773,0.12616962,0.015918773,0.14149604,1.381733405
413,PU,0.02872015,0.027610557,0.004247415,1.80E-05,0.003748169,0.088058124,-0.415269457,-0.437455829,0.1321627,0.017466979,0.147134881,1.408793765
414,PU,0.045097698,0.044167353,0.004262376,1.82E-05,0.003834005,0.097290255,-0.454686347,-0.47087597,0.105832235,0.011200462,0.125192343,1.217870881
415,PU,0.034519451,0.033456937,0.004196861,1.76E-05,0.003700482,0.089956052,-0.430791514,-0.449914137,0.118900318,0.014137286,0.134871691,1.324202963
416,PU,0.034794468,0.033762131,0.004246172,1.80E-05,0.003776781,0.089259827,-0.432612341,-0.451686034,0.118682863,0.014085622,0.134854574,1.318021778
417,PU,0.032371476,0.031282427,0.004174096,1.74E-05,0.00367187,0.088334707,-0.423790686,-0.443764117,0.122735618,0.015064032,0.138380554,1.368108669
418,PU,0.080108091,0.07940777,0.004295846,1.85E-05,0.00410105,0.108658747,-0.456640503,-0.469617238,0.099562222,0.009912636,0.12912979,1.058354561
419,PU,0.035503763,0.034429744,0.004185532,1.75E-05,0.003700482,0.090976546,-0.435494456,-0.454288937,0.117373486,0.013776535,0.133801147,1.315629387
420,PU,0.031258265,0.030281008,0.004334957,1.88E-05,0.003929378,0.088029512,-0.420908272,-0.441741356,0.126148799,0.01591352,0.141687215,1.36090745
421,PU,0.03986562,0.038855063,0.004195525,1.76E-05,0.003681408,0.09320828,-0.434935744,-0.451779266,0.110402864,0.012188792,0.127594459,1.279125189
422,PU,0.03268599,0.031711607,0.004307838,1.86E-05,0.00381493,0.090633202,-0.427587632,-0.447594793,0.122544493,0.015017153,0.138200663,1.34012405
423,PU,0.028450217,0.027372124,0.004295555,1.85E-05,0.003843542,0.089870216,-0.414272682,-0.436757009,0.133371809,0.017788039,0.14876081,1.41504594
424,PU,0.035774545,0.034725401,0.004221644,1.78E-05,0.003700482,0.088411005,-0.434792032,-0.453463202,0.117008919,0.013691087,0.1335513,1.317748579
425,PU,0.043055318,0.042193127,0.004333075,1.88E-05,0.00371002,0.096269761,-0.455087002,-0.471786479,0.107810945,0.0116232,0.126464636,1.237580519
426,PU,0.037892602,0.036918986,0.004248692,1.81E-05,0.003690945,0.090642739,-0.434986649,-0.452781417,0.113637531,0.012913488,0.130636164,1.310868759
427,PU,0.03412743,0.03316128,0.004305112,1.85E-05,0.003853079,0.089364738,-0.428595781,-0.447945975,0.119951433,0.014388346,0.135905129,1.340245816
428,PU,0.031063852,0.030099799,0.004453076,1.98E-05,0.003757706,0.095506775,-0.418734339,-0.439658026,0.126786637,0.016074851,0.142369668,1.393197914
429,PU,0.040192075,0.03929378,0.004287126,1.84E-05,0.003881691,0.091110068,-0.441193023,-0.458276332,0.110636032,0.012240331,0.128286366,1.260266051
430,PU,0.034112784,0.033094519,0.004279627,1.83E-05,0.003795855,0.090938397,-0.427250341,-0.446415566,0.119612602,0.014307175,0.135501165,1.337066793
431,PU,0.039184894,0.038139764,0.00418532,1.75E-05,0.003719557,0.090156336,-0.436415744,-0.453650956,0.111450502,0.012421214,0.128822923,1.29853807
432,PU,0.036865204,0.035841268,0.00424301,1.80E-05,0.003738632,0.094352759,-0.432661933,-0.450700372,0.115023551,0.013230417,0.131666372,1.30940885
433,PU,0.037291711,0.036318135,0.004295744,1.85E-05,0.003805393,0.095068058,-0.434470172,-0.452501404,0.114504189,0.013111209,0.131493781,1.298697537
434,PU,0.033657452,0.032579503,0.00419289,1.76E-05,0.003700482,0.089297977,-0.427629069,-0.447001815,0.120264272,0.014463495,0.136149069,1.357376178
435,PU,0.03765831,0.036356284,0.005212092,2.72E-05,0.003929378,0.128343786,-0.436735653,-0.454642625,0.114193559,0.013040169,0.131138372,1.305865054
436,PU,0.031797771,0.030757874,0.004301075,1.85E-05,0.003843542,0.098100928,-0.423250834,-0.443582088,0.124456701,0.01548947,0.139759879,1.386335632
437,PU,0.026202583,0.025054554,0.004256746,1.81E-05,0.003748169,0.087619407,-0.40364074,-0.427385891,0.139803586,0.019545043,0.155110275,1.470692641
438,PU,0.030195852,0.029231902,0.004337267,1.88E-05,0.003834005,0.095764283,-0.419562178,-0.440918297,0.128098741,0.016409288,0.143358858,1.39107838
439,PU,0.032519334,0.031435024,0.004207579,1.77E-05,0.003700482,0.088658976,-0.432428034,-0.452776555,0.123403646,0.01522846,0.139286853,1.36737796
440,PU,0.035851868,0.034792163,0.004192297,1.76E-05,0.003681408,0.090041888,-0.434180335,-0.452792941,0.116856271,0.013655388,0.133313522,1.322358699
441,PU,0.037470523,0.036461195,0.004232154,1.79E-05,0.00371002,0.091415263,-0.435994344,-0.45393066,0.114127069,0.013024988,0.131028992,1.327216237
442,PU,0.032287052,0.031253815,0.004182296,1.75E-05,0.003643258,0.089202603,-0.427929622,-0.447980414,0.122776736,0.015074127,0.138212974,1.376130777
443,PU,0.033605347,0.032503205,0.004156962,1.73E-05,0.003643258,0.089975127,-0.429678238,-0.449130066,0.120465078,0.014511835,0.136290862,1.360956953
444,PU,0.030157326,0.029050693,0.0042064,1.77E-05,0.00371002,0.08693272,-0.420814911,-0.441980435,0.127970977,0.016376571,0.142990019,1.414901212
445,PU,0.039606672,0.038559406,0.004250053,1.81E-05,0.003805393,0.091501099,-0.437297857,-0.454408059,0.111041016,0.012330107,0.128433629,1.297392925
446,PU,0.034017577,0.032999145,0.004244572,1.80E-05,0.003748169,0.092311771,-0.426868615,-0.44599153,0.11960417,0.014305157,0.135450896,1.348211431
447,PU,0.029042443,0.027915751,0.004234477,1.79E-05,0.003738632,0.087047168,-0.415292827,-0.437184334,0.131347735,0.017252228,0.146718151,1.421489304
448,PU,0.036652819,0.03562191,0.004209668,1.77E-05,0.00371002,0.090184948,-0.434963093,-0.453161153,0.115443855,0.013327284,0.132017917,1.299168915
449,PU,0.033827678,0.032837011,0.004281325,1.83E-05,0.003853079,0.090690426,-0.433204684,-0.452873562,0.12060621,0.014545858,0.13668931,1.329033782
